식당명,주소,메뉴
아웃닭 경희대점,서울 동대문구 회기로13길 19 1층,"['오리지날 프린스톤 후라이드치킨', '오리지널양념치킨류', '린드필드후라이드순살치킨', '순살양념치킨류', '감자튀김모듬']"
봉화양꼬치,서울 동대문구 회기로 148-8,"['양꼬치', '닭똥집', '양심줄']"
마구로준,서울 동대문구 회기로 132 1층 마구로준,"['스페셜(리필1인)', '특(리필1인)', '마구로준(리필1인)', '참치모듬(단품)', '뱃살모듬(단품)', '혼마구로(단품)', '새우튀김(10pcs)']"
오뚝식당,서울 동대문구 회기로26길 14 1층,"['새우로제뽕', '곱창떡볶이', '오향장육', '트러플된장술밥', '소곱창구이', '항정수육', '스지전골', '양지국수', '곱창국수', '꿀토마토', '브리치즈구이', '양념생굴', '소곱창토마토스튜']"
육쌈냉면 경희대점,서울 동대문구 경희대로4길 6,"['육개장+숯불고기+공깃밥', '숯불고기 비빔밥', '숯불고기 덮밥', '떡만둣국+공깃밥', '비빔냉면+숯불고기']"
아인스카페,서울 동대문구 경희대로 5 가동 3층,"['계절과일파르페', '오렌지초코파르페', '아이스아메리카노', '프라푸치노', '녹차파르페']"
프리스타일,서울 동대문구 경희대로3길 5 지하1층,['Beer']
어흥식당,서울 동대문구 회기로13길 22 1층,['스테이크(중) 200g']
주문진,"서울 동대문구 경희대로1길 11 (회기동, 2층) 주문진",[]
고씨네 경희대점,서울 동대문구 경희대로1길 3 2층 201호,"['돈까스 카레', '스페셜 카레', '프리미엄 스페셜 카레', '계란후라이 추가 (토핑)', '돈까스 추가 (토핑)', '닭튀김 추가 (토핑)', '고로케 추가 (토핑)', '치즈 추가 (토핑)', '가스오부시 추가 (토핑)', '아사히 캔맥주', '콜라,사이다']"
고기하다,서울 동대문구 경희대로4길 64 1층,"['목살 600g', '삼겹살 600g', '목살 200g', '삼겹살 200g', '목살반 삼겹살반 600g', '소갈비살 500g', '소갈비살 250g', '김치찌개', '된장찌개']"
오리,서울 동대문구 회기로 149,[]
한신포차 경희대점,서울 동대문구 경희대로1길 10 1층,"['해물모둠볶음', '한신닭발', '해물떡볶이', '토마토소스계란말이', '한신통닭', '낙지볶음', '닭똥집', '치즈돼지고추장바베큐', '골뱅이무침', '계란말이', '계란찜', '옛날계란후라이', '오돌뼈', '소고기육전']"
카페 비반트,서울 동대문구 회기로21길 33,"['에스프레소', '아메리카노', '카페비엔나', '카페라떼', '카푸치노']"
YONG,서울 동대문구 회기로 156,"['용떡', '개매운용떡', '크림생맥주', '크림용떡', '매운크림용떡', '해물토마토용떡', '치킨텐더용떡', '크림커리용떡', '옛날떡볶이']"
키친요시노,서울 동대문구 회기로25길 4,"['카라아게', '치킨난반', '쇼가야키', '생등심 돼지 돈카츠', '등심 생 밀푀유 치즈돈카츠', '사케동', '연어구이', '우나기동', '닭갈비 정식']"
봉평메밀회기점,서울 동대문구 회기로 120,"['메밀(물,비빔)막국수', '메밀국수너비아니', '감자옹심이메밀칼국수', '들깨감자옹심이', '보쌈정식', '시래기황태국밥', '초당순두부', '메밀만둣국', '황태해장국', '메밀묵밥(냉,온)', '메밀보쌈(중)', '메밀보쌈(대)', '너비아니정식', '코다리정식', '대파육개장']"
내가찜한닭 경희대점,서울 동대문구 회기로21길 34,"['안동찜닭(소,중,대)', '고추장찜닭(소,중,대)', '치즈순살찜닭(소,중,대)']"
호텔글로리,서울 동대문구 경희대로1길 9 2층 호텔글로리,"['호텔황제전골', '딱새우회', '파스탕', '대창전골', '닭껍질튀김', '수족한상차림', '철판치즈족발', '스모어', '핫치킨피자', '호텔육회']"
뜰아래,서울 동대문구 회기로 128,"['매운갈비찜', '궁중갈비찜', '소갈비찜', '베이컨감자전', '모둠전', '소고기 육전', '소곱창전골', '매운크림갈비찜', '매운소갈비찜', '도토리묵무침', '뜰아래']"
더샵라이스,서울 동대문구 회기로25길 11 1층 더샵라이스,"['간장소고기덮밥', '매콤제육덮밥', '치킨가라아게덮밥']"
찌개애감동 경희의료원점,서울 동대문구 경희대로 23 경희의료원,[]
백수상회,서울 동대문구 경희대로1길 8-15 지하 1층,"['스위스 감자전', '밀푀유나베', '국물떡볶이']"
푸드정원,서울 동대문구 이문로1길 29,[]
1971바,서울 동대문구 경희대로1길 8-17,[]
두레박,서울 동대문구 경희대로3길 29,"['돼지갈비', '제주흑오겹살', '삼겹살', '목살', '불고기전골', '쌈정식']"
타이인플레이트,서울 동대문구 이문로 17-26 1층,"['팟타이', '나시고랭', '양지차돌쌀국수', '매운쌀국수', '팟씨유', '카오팟', '푸팟퐁커리+밥', '반미샌드위치', '돼지고기버섯볶음']"
후퉁리,서울 동대문구 경희대로3길 17 지하 1층,['양고기탕']
매머드커피 경희대점,서울 동대문구 경희대로 22,[]
씨썬샌드,서울 동대문구 경희대로1길 8-7,[]
동대문엽기떡볶이 경희대점,서울 동대문구 경희대로 8,"['엽기떡볶이', '엽기오뎅', '엽기반반', '2인떡볶이', '엽기닭볶음탕', '엽기 국물닭발', '엽기 무뼈닭발', '엽기 통닭발', '엽기 닭날개', '엽기 오돌뼈', '버터꿀봉-달콤치즈', '버터꿀봉-매콤땡초', '고추맵봉-달콤치즈', '고추맵봉-매콤땡초', '계란야채죽']"
도마,서울 동대문구 경희대로1길 27 1층 도마,['도마모듬1']
홍익짬뽕 경희대점,서울 동대문구 회기로13길 18 1층,"['짬뽕', '짜장면', '찹쌀탕수육', '왕군만두(5p)']"
풍천장어굴보쌈,서울 동대문구 회기로 115 1층 풍천장어굴보쌈,"['장어정식', '매생이 굴국', '굴영양밥', '반마리장어정식', '김치보쌈', '굴보쌈', '콩나물굴국', '보쌈김치추가']"
예스 투엔디 경희대점,서울 동대문구 경희대로3길 10,"['매운오돌뼈와 주먹밥', '블루베리 요거트과일', '상큼와인화채', '해산물치즈떡뽂이', 'SET A 얼큰해물짬뽕+중화깐풍기', 'SET B 간사이오뎅탕+오코노미야끼']"
에스제이1001,서울 동대문구 경희대로3길 38 지하1층,[]
마포화곱창 전농점,서울 동대문구 서울시립대로 164 B1층,"['한우소곱창모둠', '곱창전골', '소곱창모둠', '미나리곱삼(2인이상)']"
달콩,서울 동대문구 회기로 124-1 1층 달콩,"['더치아메리카노', '달콩 밀크티', '몽키매직']"
경호야,서울 동대문구 회기로 131,"['점심특선 초밥10pcs', '호야 초밥 12pcs', '경호야 초밥 12pcs', '특호야 12pcs', '생연어 초밥 12pcs', '소고기 초밥 12pcs', '참치 초밥 12pcs', '1인사시미', '활전복사시미(6마리)', '연어 사시미', '연어&광어 사시미', '광어 사시미', '모듬 사시미', '참치회', '참치머리 사시미']"
치맥파이브 경희대점,서울 동대문구 회기로21길 8-6,['치킨']
팔레트,서울 동대문구 경희대로4길 72 2층 팔레트,"['하우스와인 1잔', '와인1병(모든종류)']"
인생소곱창 회기본점,서울 동대문구 회기로21길 9 1층 인생소곱창,"['인생한우곱창 (230g)', '모듬곱창 (530g)', '인생대창  (200g)', '막창  (200g)', '우삼겹  (200g)', '염통 (200g)', '주먹밥']"
락식락당,서울 동대문구 경희대로4길 6 지하1층 락식락당,"['광양식불고기덮밥', '직화제육덮밥', '돈가스덮밥', '치즈돈가스덮밥', '새우튀김덮밥', '연어덮밥', '불랄라비빔밥', '매운오징어덮밥', '항정살곰탕면', '김치찌개라면', '매운고기라면', '락모닝', '닭고기덮밥', '감자고로케', '타코야끼']"
소리울,서울 동대문구 경희대로1길 5,[]
소주향포차 경희대2호점,서울 동대문구 회기로19길 11 지하,['안주']
써브웨이 경희대점,서울 동대문구 경희대로4길 6,"['로스트 치킨', 'K-바비큐', '써브웨이 멜트', '비엘티', '미트볼', '햄', '참치', '터키', '베지', '스테이크 & 치즈', '스파이시 이탈리안', '치킨데리야끼', '세트 메뉴 추가', '블랙 포레스트햄 & 에그, 치즈', '웨스턴, 에그 & 치즈']"
